University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Rochester Institute of Technology (RIT),PhD in Business Administration ,"$28,455",1.33,2025-2026,1st,"$30,000",,,"$1,545",This is for 2026-27
Louisiana State University - Baton Rouge,Music,"$23,000",1.06,2025-2026,1st,,"$23,000",,,
Duke University (DU),Mathematics,"$43,375",1.95,2025-2026,1st,"$43,375",,,,
University of Oklahoma (OU),Political Science PhD ,"$19,550",0.97,2025-2026,1st,,"$20,000",,$450,
University of Oklahoma (OU),Political Science PhD ,"$19,550",0.97,2025-2026,1st,,"$20,000",,$450,
Stanford University (SU),Energy Science and Engineering,"$60,500",2.11,2025-2026,1st,"$60,500",,,,
Oklahoma State University (OSU),Management,"$30,555",1.57,2025-2026,1st,"$30,555",,,,
University of Washington (UW),College of Education,"$31,041",1.33,2025-2026,3rd,,"$31,041",,,Summer is hour-based. Pay rate is $42.75/hr.
Virginia Tech,Landscape Architecture,"$12,600",0.60,2024-2025,1st,,"$12,600",,,
Oklahoma State University (OSU),Spears School of Business,"$30,555",1.57,2025-2026,1st,"$30,555",,,,
University of Georgia (UGA),music,"$16,000",0.76,2022-2023,5th,,"$16,000",,,
University of Maryland - College Park (UMD),Linguistics,"$32,700",1.08,2025-2026,6th and up,"$36,000",,,"$3,300",Health insurance + (international student fees) + mandatory student fees.
University of Florida (UF),Chemistry,"$28,000",1.23,2025-2026,5th,"$28,000",,,,
University of Arkansas - Fayetteville,EECS,"$23,100",1.16,2025-2026,1st,"$23,100",,,,
Georgetown University,History,"$30,000",0.97,2025-2026,1st,"$30,000",,,,
University at Buffalo - SUNY,Marketing,"$33,797",1.61,2025-2026,1st,"$33,797",,,,30797 standard GA Package + 3000 in Fellowship
Columbia University (CU),East Asian Languages and Cultures,"$49,000",1.65,2025-2026,2nd,"$49,000",,,,
University of Utah,Population health science,"$32,400",1.46,2025-2026,1st,"$32,400",,,,pre tax
New York University (NYU),Psychology,"$49,506",1.66,2025-2026,1st,,"$37,132","$12,374",,
Universite de Geneve,Physics ,"$68,350",,2025-2026,2nd,"$68,350",,,,
University of Missouri - Kansas City (UMKC),Mechanical,"$19,800",0.96,2024-2025,1st,,"$19,800",,,
University of Southern California (USC),Biomedical Engineering,"$45,617",1.76,2025-2026,1st,"$45,617",,,,
Ohio State University (OSU),Mathematics,"$30,000",1.50,2025-2026,1st,"$30,000",,,,
Brown University,COLT,"$53,948",2.37,2025-2026,1st,"$53,948",,,,"Includes first-year supplemental stipend ($1,750). No teaching requirements. Full health insurance coverage, including dental and vision. "
University of California - Santa Barbara (UCSB),Chemistry,"$44,000",1.68,2025-2026,3rd,"$44,000",,,,
University of South Dakota,Chemistry,"$24,000",1.21,2025-2026,,"$24,000",,,,
Clarkson University,Electrical and computer engineering ,"$29,550",1.44,2025-2026,1st,"$30,000",,,$450,
University of Missouri (MU),College of Arts And Sciences,"$19,600",0.95,2025-2026,2nd,,"$19,600",,,
Iowa State University (ISU),English,"$25,700",1.21,2025-2026,,,"$23,000","$3,000",$300,
University of Pittsburgh,Anthropology PhD,"$26,434",1.28,2025-2026,3rd,,"$23,464","$3,000",$30,"We have health insurance covered by Pitt, with optional add-on for visual and dental for around 25 dollars a month combined. We get paid on an 8 month schedule. We dont TA the first year (we are all on fellowship) with TAing for our stipend in other years unless we get another fellowship. We have 5 years of guaranteed funding.  We always (though this may change in the future with this administration and funding cuts) have summer funding (for fieldwork) in some way, shape or form from our 1st-3rd year summers, and our flights are paid for by the department so we dont have to use our summer funding on it. How much we are paid in the summers for research ranges from 2000-4500 dollars. "
North Carolina State University (NCSU),Computer Science,"$22,100",0.97,2025-2026,1st,,"$26,100",,"$4,000",
University of Montana (UM),Speech language and hearing sciences,"$14,600",0.67,2025-2026,1st,,"$18,000",,"$3,400",
Harvard University (HU),"Architecture, Landscape Architecture and Urban Planning","$51,000",1.78,2025-2026,1st,"$51,000",,,,
University of Southern California (USC),Social work,"$46,000",1.78,2025-2026,1st,,"$46,000",,,
University of Nebraska - Lincoln (NU),"Teaching, Learning and Teacher Education","$13,750",0.71,2025-2026,1st,,"$15,450",,"$1,700",
Indiana University,Intelligent Systems Engineering,"$26,000",1.20,2025-2026,,,"$26,000",,,
University of California - Merced,Sociology,"$26,961",1.30,2025-2026,1st,,"$26,961",,,international student with relocation costs
Southern Illinois University - Carbondale (SIUC),Mechanical Engineering,"$7,614",0.38,2025-2026,1st,,"$7,614",,,
Brown University,Engineering,"$51,815",2.28,2025-2026,2nd,"$52,000",,,$185,
Duke University (DU),Mechanical Engineering and Material Science,"$43,775",1.97,2025-2026,1st,"$43,775",,,,
Northwestern University (NU),Physics ,"$46,356",1.91,2025-2026,1st,"$46,356",,,,
Emory University,,"$42,000",1.80,2025-2026,5th,"$42,000",,,,
,,"$32,000",,2022-2023,,"$32,000",,,,
